Block,Floor,FloorLevel,Room,Size,Size_Category,Price,AvgPrice,Date,Direction,View,Distance,View_Score
49,11,Mid,A,284,Small_Unit,4600000,16197,17/7/2026,North West,8. Normal (Poor Direction - N/W),220.0,4.5
9,10,Low,A,451,Middle_Unit,6140000,13614,17/7/2026,North West,8. Normal (Poor Direction - N/W),600.0,4.5
27,16,Mid,D,688,Large_Unit,8750000,12718,17/7/2026,West,10. Poor Street (Busy Road),450.0,2.0
9,19,Mid,H,327,Small_Unit,4900000,14985,16/7/2026,North East,6. Normal (Good Direction - S/E),600.0,6.0
43,5,Low,C,304,Small_Unit,3980000,13092,16/7/2026,South,6. Normal (Good Direction - S/E),220.0,6.0
44,12,Mid,C,304,Small_Unit,4560000,15000,16/7/2026,South,6. Normal (Good Direction - S/E),150.0,6.0
39,22,Mid,G,304,Small_Unit,4700000,15461,15/7/2026,North,10. Poor Street (Busy Road),180.0,2.0
48,22,Mid,G,304,Small_Unit,4800000,15789,15/7/2026,North,10. Poor Street (Busy Road),200.0,2.0
24,26,High,D,326,Small_Unit,4960000,15215,15/7/2026,West,10. Poor Street (Busy Road),380.0,2.0
17,21,Mid,H,327,Small_Unit,4780000,14618,14/7/2026,North East,6. Normal (Good Direction - S/E),520.0,6.0
45,21,Mid,B,284,Small_Unit,4100000,14437,14/7/2026,West,9. Poor Close (Wall View),150.0,3.0
41,32,High,D,304,Small_Unit,5000000,16447,10/7/2026,South,6. Normal (Good Direction - S/E),220.0,6.0
52,19,Mid,G,304,Small_Unit,4760000,15658,10/7/2026,North East,6. Normal (Good Direction - S/E),280.0,6.0
36,15,Mid,G,307,Small_Unit,4295000,13990,9/7/2026,West,10. Poor Street (Busy Road),300.0,2.0
26,1,Low,G,326,Small_Unit,4380000,13436,9/7/2026,East,10. Poor Street (Busy Road),420.0,2.0
50,6,Low,B,284,Small_Unit,4260000,15000,6/7/2026,North West,8. Normal (Poor Direction - N/W),250.0,4.5
19,4,Low,D,327,Small_Unit,4820000,14740,6/7/2026,South West,6. Normal (Good Direction - S/E),550.0,6.0
49,9,Low,H,304,Small_Unit,4760000,15658,3/7/2026,North East,6. Normal (Good Direction - S/E),220.0,6.0
43,30,High,F,284,Small_Unit,4690000,16514,3/7/2026,East,9. Poor Close (Wall View),220.0,3.0
2,5,Low,G,327,Small_Unit,5050000,15443,3/7/2026,North East,2. Premium (Full River - West/Sun),680.0,8.5
37,9,Low,G,304,Small_Unit,4460000,14671,29/6/2026,North,5. Good Internal (Pool/Garden/Mall),150.0,6.5
30,21,Mid,C,327,Small_Unit,4688900,14339,29/6/2026,West,10. Poor Street (Busy Road),420.0,2.0
52,25,Mid,E,284,Small_Unit,4200000,14789,26/6/2026,South East,6. Normal (Good Direction - S/E),280.0,6.0
45,30,High,D,304,Small_Unit,4300000,14145,26/6/2026,South,6. Normal (Good Direction - S/E),150.0,6.0
46,24,Mid,E,284,Small_Unit,4680000,16479,26/6/2026,East,9. Poor Close (Wall View),180.0,3.0
36,34,High,C,307,Small_Unit,4800000,15635,26/6/2026,East,6. Normal (Good Direction - S/E),300.0,6.0
37,32,High,H,304,Small_Unit,4900000,16118,25/6/2026,North,5. Good Internal (Pool/Garden/Mall),150.0,6.5
30,14,Mid,C,327,Small_Unit,4920000,15046,25/6/2026,West,10. Poor Street (Busy Road),420.0,2.0
45,22,Mid,B,284,Small_Unit,4510000,15880,23/6/2026,West,9. Poor Close (Wall View),150.0,3.0
51,26,High,D,304,Small_Unit,4800000,15789,22/6/2026,South West,6. Normal (Good Direction - S/E),280.0,6.0
32,26,High,E,451,Middle_Unit,6700000,14856,22/6/2026,North,10. Poor Street (Busy Road),380.0,2.0
21,24,Mid,D,327,Small_Unit,3980000,12171,20/6/2026,South West,6. Normal (Good Direction - S/E),500.0,6.0
40,21,Mid,H,304,Small_Unit,4480000,14737,20/6/2026,North,10. Poor Street (Busy Road),200.0,2.0
50,9,Low,F,284,Small_Unit,3993000,14060,15/6/2026,South East,6. Normal (Good Direction - S/E),250.0,6.0
24,14,Mid,G,326,Small_Unit,4900000,15031,15/6/2026,South,10. Poor Street (Busy Road),380.0,2.0
43,13,Mid,E,284,Small_Unit,4100000,14437,15/6/2026,East,9. Poor Close (Wall View),220.0,3.0
10,9,Low,A,451,Middle_Unit,5500000,12195,15/6/2026,North West,1. Premium Plus (Full River/Park),580.0,9.0
39,14,Mid,E,284,Small_Unit,4560000,16056,15/6/2026,West,9. Poor Close (Wall View),180.0,3.0
3,27,High,C,327,Small_Unit,4750000,14526,15/6/2026,South West,2. Premium (Full River - West/Sun),700.0,8.5
11,18,Mid,A,515,Middle_Unit,7300000,14175,12/6/2026,North West,1. Premium Plus (Full River/Park),550.0,9.0
9,18,Mid,C,327,Small_Unit,4880000,14924,12/6/2026,South West,6. Normal (Good Direction - S/E),600.0,6.0
