Date,HSI
3/1/2011,23436.05078
4/1/2011,23668.48047
5/1/2011,23757.82031
6/1/2011,23786.30078
7/1/2011,23686.63086
10/1/2011,23527.25977
11/1/2011,23760.33984
12/1/2011,24125.60938
13/1/2011,24238.98047
14/1/2011,24283.23047
17/1/2011,24156.9707
18/1/2011,24153.98047
19/1/2011,24419.61914
20/1/2011,24003.69922
21/1/2011,23876.85938
24/1/2011,23801.7793
25/1/2011,23788.83008
26/1/2011,23843.24023
27/1/2011,23779.61914
28/1/2011,23617.01953
31/1/2011,23447.33984
1/2/2011,23482.94922
2/2/2011,23908.96094
7/2/2011,23553.58984
8/2/2011,23484.30078
9/2/2011,23164.0293
10/2/2011,22708.61914
11/2/2011,22828.91992
14/2/2011,23121.06055
15/2/2011,22899.7793
16/2/2011,23156.9707
17/2/2011,23301.83984
18/2/2011,23595.24023
21/2/2011,23485.41992
22/2/2011,22990.81055
23/2/2011,22906.90039
24/2/2011,22601.03906
25/2/2011,23012.36914
28/2/2011,23338.01953
1/3/2011,23396.41992
2/3/2011,23048.66016
3/3/2011,23122.41992
4/3/2011,23408.85938
7/3/2011,23313.18945
8/3/2011,23711.69922
9/3/2011,23810.10938
10/3/2011,23614.89063
11/3/2011,23249.7793
14/3/2011,23345.88086
15/3/2011,22678.25
16/3/2011,22700.88086
17/3/2011,22284.42969
18/3/2011,22300.23047
21/3/2011,22685.2207
22/3/2011,22857.90039
23/3/2011,22825.40039
24/3/2011,22915.2793
25/3/2011,23158.66992
28/3/2011,23068.18945
29/3/2011,23060.35938
30/3/2011,23451.42969
31/3/2011,23527.51953
1/4/2011,23801.90039
4/4/2011,24150.58008
6/4/2011,24285.05078
7/4/2011,24281.80078
8/4/2011,24396.07031
11/4/2011,24303.07031
12/4/2011,23976.36914
13/4/2011,24135.0293
14/4/2011,24014
15/4/2011,24008.07031
18/4/2011,23830.31055
19/4/2011,23520.61914
20/4/2011,23896.09961
21/4/2011,24138.31055
26/4/2011,24007.38086
27/4/2011,23892.83984
28/4/2011,23805.63086
29/4/2011,23720.81055
3/5/2011,23633.25
4/5/2011,23315.24023
5/5/2011,23261.60938
6/5/2011,23159.14063
9/5/2011,23336
11/5/2011,23291.80078
12/5/2011,23073.75977
13/5/2011,23276.26953
16/5/2011,22960.63086
17/5/2011,22901.08008
18/5/2011,23011.14063
19/5/2011,23163.38086
20/5/2011,23199.39063
23/5/2011,22711.01953
24/5/2011,22730.7793
25/5/2011,22747.2793
26/5/2011,22900.78906
27/5/2011,23118.07031
30/5/2011,23184.32031
31/5/2011,23684.13086
1/6/2011,23626.42969
2/6/2011,23253.83984
3/6/2011,22949.56055
7/6/2011,22868.66992
8/6/2011,22661.63086
9/6/2011,22609.83008
10/6/2011,22420.36914
13/6/2011,22508.08008
14/6/2011,22496
15/6/2011,22343.76953
16/6/2011,21953.10938
17/6/2011,21695.25977
20/6/2011,21599.50977
21/6/2011,21850.58984
22/6/2011,21859.9707
23/6/2011,21759.14063
24/6/2011,22171.94922
27/6/2011,22041.76953
28/6/2011,22061.7793
29/6/2011,22061.17969
30/6/2011,22398.09961
4/7/2011,22770.4707
5/7/2011,22747.94922
6/7/2011,22517.55078
7/7/2011,22530.17969
8/7/2011,22726.42969
11/7/2011,22347.23047
12/7/2011,21663.16016
13/7/2011,21926.88086
14/7/2011,21940.19922
15/7/2011,21875.38086
18/7/2011,21804.75
19/7/2011,21902.40039
20/7/2011,22003.68945
21/7/2011,21987.28906
22/7/2011,22444.80078
25/7/2011,22293.28906
26/7/2011,22572.08008
27/7/2011,22541.68945
28/7/2011,22570.74023
29/7/2011,22440.25
1/8/2011,22663.36914
2/8/2011,22421.46094
3/8/2011,21992.7207
4/8/2011,21884.74023
5/8/2011,20946.14063
8/8/2011,20490.57031
9/8/2011,19330.69922
10/8/2011,19783.66992
11/8/2011,19595.14063
12/8/2011,19620.00977
15/8/2011,20260.09961
16/8/2011,20212.08008
17/8/2011,20289.0293
18/8/2011,20016.26953
19/8/2011,19399.91992
22/8/2011,19486.86914
23/8/2011,19875.5293
24/8/2011,19466.78906
25/8/2011,19752.48047
26/8/2011,19582.88086
29/8/2011,19865.10938
30/8/2011,20204.16992
31/8/2011,20534.84961
1/9/2011,20585.33008
2/9/2011,20212.91016
5/9/2011,19616.40039
6/9/2011,19710.5
7/9/2011,20048
8/9/2011,19912.82031
9/9/2011,19866.63086
12/9/2011,19030.53906
14/9/2011,19045.43945
15/9/2011,19181.5
16/9/2011,19455.31055
19/9/2011,18917.94922
20/9/2011,19014.80078
21/9/2011,18824.16992
22/9/2011,17911.94922
23/9/2011,17668.83008
26/9/2011,17407.80078
27/9/2011,18130.55078
28/9/2011,18011.06055
30/9/2011,17592.41016
3/10/2011,16822.15039
4/10/2011,16250.26953
6/10/2011,17172.2793
7/10/2011,17707.00977
10/10/2011,17711.06055
11/10/2011,18141.58984
12/10/2011,18329.46094
13/10/2011,18757.81055
14/10/2011,18501.78906
17/10/2011,18873.99023
18/10/2011,18076.46094
19/10/2011,18309.2207
20/10/2011,17983.09961
21/10/2011,18025.7207
24/10/2011,18771.82031
25/10/2011,18968.19922
26/10/2011,19066.53906
27/10/2011,19688.69922
28/10/2011,20019.24023
31/10/2011,19864.86914
1/11/2011,19369.96094
2/11/2011,19733.71094
3/11/2011,19242.5
4/11/2011,19842.78906
7/11/2011,19677.89063
8/11/2011,19678.4707
9/11/2011,20014.42969
10/11/2011,18963.89063
11/11/2011,19137.16992
14/11/2011,19508.17969
15/11/2011,19348.43945
16/11/2011,18960.90039
17/11/2011,18817.4707
18/11/2011,18491.23047
21/11/2011,18225.84961
22/11/2011,18251.58984
23/11/2011,17864.42969
24/11/2011,17935.09961
25/11/2011,17689.48047
28/11/2011,18037.81055
29/11/2011,18256.19922
30/11/2011,17989.34961
1/12/2011,19002.25977
2/12/2011,19040.39063
5/12/2011,19179.68945
6/12/2011,18942.23047
7/12/2011,19240.58008
8/12/2011,19107.81055
9/12/2011,18586.23047
12/12/2011,18575.66016
13/12/2011,18447.16992
14/12/2011,18354.42969
15/12/2011,18026.83984
16/12/2011,18285.39063
19/12/2011,18070.21094
20/12/2011,18080.19922
21/12/2011,18416.44922
22/12/2011,18378.23047
23/12/2011,18629.16992
28/12/2011,18518.66992
29/12/2011,18397.91992
30/12/2011,18434.39063
3/1/2012,18877.41016
4/1/2012,18727.31055
5/1/2012,18813.41016
6/1/2012,18593.06055
9/1/2012,18865.7207
10/1/2012,19004.2793
11/1/2012,19151.93945
12/1/2012,19095.38086
13/1/2012,19204.41992
16/1/2012,19012.19922
17/1/2012,19627.75
18/1/2012,19686.91992
19/1/2012,19942.94922
20/1/2012,20110.36914
26/1/2012,20439.14063
27/1/2012,20501.66992
30/1/2012,20160.41016
31/1/2012,20390.49023
