Phase,Block,Floor,FloorLevel,Room,Size,Size_Category,Price,AvgPrice,Date,Direction,View,Distance,View_Score
 7 Kenswood ,5,26,High,B,1407,Large_Unit,10500000,7463,21/7/2026,South,5. Good Internal (Pool/Piazza),1400,6.5
 5 Lynwood ,7,6,Low,E,446,Small_Unit,4130000,9260,21/7/2026,South West,5. Good Internal (Pool/Piazza),1500,6.5
 7 Kenswood ,5,8,Low,C,546,Middle_Unit,4550000,8333,21/7/2026,South East,4. Good Open (Distant Greenery),1400,7
 5 Lynwood ,5,15,Mid,A,638,Large_Unit,5580000,8746,21/7/2026,South West,5. Good Internal (Pool/Piazza),1500,6.5
 3 Chestwood ,5,21,Mid,B,633,Large_Unit,5350000,8452,21/7/2026,South,1. Premium Plus (Full Park),1300,9
 1 Locwood ,10,21,Mid,G,548,Middle_Unit,5000000,9124,21/7/2026,South West,2. Premium (Open Channel/Greenery),500,8.5
 1 Locwood ,5,8,Low,E,448,Small_Unit,4600000,10268,21/7/2026,North East,10. Poor Street (Light Rail Track / Road),450,2
 7 Kenswood ,1,11,Mid,F,442,Small_Unit,4800000,10860,20/7/2026,East,4. Good Open (Distant Greenery),1400,7
 3 Chestwood ,5,25,Mid,D,543,Middle_Unit,4700000,8656,17/7/2026,North West,1. Premium Plus (Full Park),1300,9
 1 Locwood ,4,2,Low,G,548,Middle_Unit,4300000,7847,17/7/2026,North East,10. Poor Street (Light Rail Track / Road),450,2
 1 Locwood ,14,5,Low,G,848,Large_Unit,4900000,5778,17/7/2026,North East,10. Poor Street (Light Rail Track / Road),500,2
 7 Kenswood ,12,15,Mid,A,638,Large_Unit,5400000,8464,16/7/2026,North East,4. Good Open (Distant Greenery),1400,7
 5 Lynwood ,7,5,Low,E,446,Small_Unit,4130000,9260,16/7/2026,South West,5. Good Internal (Pool/Piazza),1500,6.5
 6 Maywood ,8,3,Low,B,623,Large_Unit,4980000,7994,15/7/2026,East,6. Normal (Good Direction - S/E),1500,6
 1 Locwood ,8,9,Low,F,449,Small_Unit,4130000,9198,15/7/2026,North West,10. Poor Street (Light Rail Track / Road),500,2
 3 Chestwood ,2,15,Mid,F,449,Small_Unit,3980000,8864,13/7/2026,North,8. Normal (Poor Direction - N/W),1300,4.5
 1 Locwood ,12,12,Mid,A,636,Large_Unit,4000000,6289,10/7/2026,North East,10. Poor Street (Light Rail Track / Road),500,2
 5 Lynwood ,1,23,Mid,G,547,Middle_Unit,5000000,9141,10/7/2026,North East,5. Good Internal (Pool/Piazza),1500,6.5
 3 Chestwood ,5,13,Mid,B,633,Large_Unit,5380000,8499,8/7/2026,South,1. Premium Plus (Full Park),1300,9
 5 Lynwood ,4,35,High,H,547,Middle_Unit,4960000,9068,8/7/2026,South West,5. Good Internal (Pool/Piazza),1500,6.5
 2 Sherwood ,1,15,Mid,A,636,Large_Unit,5450000,8569,7/7/2026,South West,1. Premium Plus (Full Park),500,9
 1 Locwood ,6,1,Low,G,548,Middle_Unit,4000000,7299,7/7/2026,South,2. Premium (Open Channel/Greenery),450,8.5
