Block,Floor,FloorLevel,Room,Size,Size_Category,Price,AvgPrice,Date,Direction,View,Distance,View_Score
48,25,Mid,D,503,Small_Unit,8480000,16858.84692,22/7/2026,south,6. Normal (Good Direction - S/E),500,6
22,17,Mid,B,582,Middle_Unit,9000000,15463.91753,22/7/2026,east,6. Normal (Good Direction - S/E),150,6
16,19,Mid,D,689,Middle_Unit,10500000,15239.4775,14/7/2026,south,2. Premium (Full Mountain),400,8.5
63,16,Mid,A,592,Middle_Unit,12400000,20945.94595,14/7/2026,north,8. Normal (Poor Direction - N/W),200,4.5
27,24,Mid,A,580,Small_Unit,10500000,18103.44828,8/7/2026,north,8. Normal (Poor Direction - N/W),400,4.5
1,18,Mid,F,580,Small_Unit,7680000,13241.37931,8/7/2026,west,8. Normal (Poor Direction - N/W),400,4.5
10,17,Mid,D,689,Middle_Unit,10280000,14920.17417,7/7/2026,south,2. Premium (Full Mountain),400,8.5
49,7,Low,A,701,Middle_Unit,11800000,16833.09558,7/7/2026,north,8. Normal (Poor Direction - N/W),500,4.5
14,23,Mid,D,689,Middle_Unit,8000000,11611.03048,7/7/2026,south,2. Premium (Full Mountain),400,8.5
1,2,Low,B,580,Small_Unit,8000000,13793.10345,6/7/2026,east,6. Normal (Good Direction - S/E),400,6
52,15,Mid,D,582,Middle_Unit,10500000,18041.23711,2/7/2026,south,6. Normal (Good Direction - S/E),350,6
51,13,Mid,D,502,Small_Unit,8600000,17131.4741,30/6/2026,south,6. Normal (Good Direction - S/E),350,6
9,21,Mid,C,589,Middle_Unit,9120000,15483.87097,27/6/2026,east,6. Normal (Good Direction - S/E),400,6
49,20,Mid,G,664,Middle_Unit,12500000,18825.3012,25/6/2026,west,8. Normal (Poor Direction - N/W),500,4.5
48,23,Mid,H,603,Middle_Unit,11150000,18490.87894,25/6/2026,north,8. Normal (Poor Direction - N/W),500,4.5
32,17,Mid,D,580,Small_Unit,8000000,13793.10345,23/6/2026,south,6. Normal (Good Direction - S/E),500,6
27,6,Low,D,580,Small_Unit,9800000,16896.55172,17/6/2026,south,6. Normal (Good Direction - S/E),400,6
14,6,Low,A,530,Small_Unit,8400000,15849.0566,16/6/2026,north,8. Normal (Poor Direction - N/W),400,4.5
18,16,Mid,C,684,Middle_Unit,11000000,16081.87135,12/6/2026,east,6. Normal (Good Direction - S/E),400,6
52,12,Mid,D,582,Middle_Unit,10280000,17663.23024,12/6/2026,south,6. Normal (Good Direction - S/E),350,6
24,8,Low,H,709,Middle_Unit,11480000,16191.81946,11/6/2026,north,8. Normal (Poor Direction - N/W),200,4.5
29,5,Low,D,530,Small_Unit,8500000,16037.73585,8/6/2026,south,6. Normal (Good Direction - S/E),400,6
2,26,High,B,489,Small_Unit,7480000,15296.52352,4/6/2026,east,6. Normal (Good Direction - S/E),400,6
11,18,Mid,B,582,Middle_Unit,10400000,17869.41581,3/6/2026,east,6. Normal (Good Direction - S/E),400,6
20,18,Mid,G,716,Middle_Unit,12480000,21443.29897,3/6/2026,west,8. Normal (Poor Direction - N/W),150,4.5
7,6,Low,D,582,Middle_Unit,8900000,15292.09622,2/6/2026,south,2. Premium (Full Mountain),430,8.5
18,15,Mid,D,593,Middle_Unit,9400000,16151.20275,2/6/2026,south,2. Premium (Full Mountain),400,8.5
6,4,Low,F,704,Middle_Unit,10500000,18041.23711,29/5/2026,west,8. Normal (Poor Direction - N/W),460,4.5
23,8,Low,C,580,Small_Unit,9700000,16666.66667,29/5/2026,east,6. Normal (Good Direction - S/E),200,6
19,20,Mid,A,489,Small_Unit,8180000,14054.98282,28/5/2026,north,8. Normal (Poor Direction - N/W),150,4.5
1,5,Low,B,580,Small_Unit,8000000,13745.70447,28/5/2026,east,6. Normal (Good Direction - S/E),400,6
28,10,Low,F,583,Middle_Unit,7480000,12852.23368,28/5/2026,west,8. Normal (Poor Direction - N/W),400,4.5
29,10,Low,E,530,Small_Unit,8000000,13745.70447,28/5/2026,south,6. Normal (Good Direction - S/E),400,6
